Chain;Transaction;Metric;Average
Optimism;buy_seeds;l1_blob_base_fee;5313408212024.49
Arbitrum;germinate_seeds;l1_blob_base_fee;-1.0
Optimism;germinate_seeds;l1_blob_base_fee;5370764039798.19
Arbitrum;plant_seeds;l1_blob_base_fee;-1.0
Optimism;plant_seeds;l1_blob_base_fee;5376668891523.71
Arbitrum;stimulate;l1_blob_base_fee;-1.0
Optimism;stimulate;l1_blob_base_fee;5358697004913.54
Arbitrum;harvest;l1_blob_base_fee;-1.0
Optimism;harvest;l1_blob_base_fee;5343274746959.13
Arbitrum;transport;l1_blob_base_fee;-1.0
Optimism;transport;l1_blob_base_fee;5343826748007.08
Arbitrum;store;l1_blob_base_fee;-1.0
Optimism;store;l1_blob_base_fee;5311015621690.24
Arbitrum;display_vegetables;l1_blob_base_fee;-1.0
Optimism;display_vegetables;l1_blob_base_fee;5304523196324.97
Arbitrum;add_actor;l1_blob_base_fee;-1.0
Optimism;add_actor;l1_blob_base_fee;5201863041040.44
Arbitrum;register_actor;l1_blob_base_fee;-1.0
Optimism;register_actor;l1_blob_base_fee;5182230127213.39
Arbitrum;buy_seeds;gas_used_for_l1;169467.24
Optimism;buy_seeds;gas_used_for_l1;1600.0
Arbitrum;germinate_seeds;gas_used_for_l1;100663.12
Optimism;germinate_seeds;gas_used_for_l1;1600.0
Arbitrum;plant_seeds;gas_used_for_l1;100669.97
Optimism;plant_seeds;gas_used_for_l1;1600.0
Arbitrum;stimulate;gas_used_for_l1;181193.81
Optimism;stimulate;gas_used_for_l1;1744.14
Arbitrum;harvest;gas_used_for_l1;100413.98
Optimism;harvest;gas_used_for_l1;1600.0
Arbitrum;transport;gas_used_for_l1;143504.02
Optimism;transport;gas_used_for_l1;1600.0
Arbitrum;store;gas_used_for_l1;121987.24
Optimism;store;gas_used_for_l1;1600.0
Arbitrum;display_vegetables;gas_used_for_l1;98773.03
Optimism;display_vegetables;gas_used_for_l1;1600.0
Arbitrum;add_actor;gas_used_for_l1;226034.52
Optimism;add_actor;gas_used_for_l1;2754.92
Arbitrum;register_actor;gas_used_for_l1;83310.19
Optimism;register_actor;gas_used_for_l1;1600.0
Arbitrum;buy_seeds;l1_gas_price;8327443990.3
Optimism;buy_seeds;l1_gas_price;4722229452.99
Arbitrum;germinate_seeds;l1_gas_price;8331435129.91
Optimism;germinate_seeds;l1_gas_price;4700092755.93
Arbitrum;plant_seeds;l1_gas_price;8319360426.06
Optimism;plant_seeds;l1_gas_price;4683531539.63
Arbitrum;stimulate;l1_gas_price;8300605388.35
Optimism;stimulate;l1_gas_price;4700575907.21
Arbitrum;harvest;l1_gas_price;8309213442.25
Optimism;harvest;l1_gas_price;4694773840.43
Arbitrum;transport;l1_gas_price;8310580679.86
Optimism;transport;l1_gas_price;4675846793.41
Arbitrum;store;l1_gas_price;8326380795.27
Optimism;store;l1_gas_price;4675377327.23
Arbitrum;display_vegetables;l1_gas_price;8299250957.96
Optimism;display_vegetables;l1_gas_price;4689584669.06
Arbitrum;add_actor;l1_gas_price;7145698903.82
Optimism;add_actor;l1_gas_price;1851162900.42
Arbitrum;register_actor;l1_gas_price;7161101395.66
Optimism;register_actor;l1_gas_price;1854602529.46
Arbitrum;buy_seeds;gas_used;252001.24
Optimism;buy_seeds;gas_used;82534.0
Arbitrum;germinate_seeds;gas_used;149151.12
Optimism;germinate_seeds;gas_used;48488.0
Arbitrum;plant_seeds;gas_used;132058.97
Optimism;plant_seeds;gas_used;31389.0
Arbitrum;stimulate;gas_used;214569.81
Optimism;stimulate;gas_used;33376.0
Arbitrum;harvest;gas_used;131757.98
Optimism;harvest;gas_used;31344.0
Arbitrum;transport;gas_used;183780.02
Optimism;transport;gas_used;40276.0
Arbitrum;store;gas_used;153062.24
Optimism;store;gas_used;31075.0
Arbitrum;display_vegetables;gas_used;129841.03
Optimism;display_vegetables;gas_used;31068.0
Arbitrum;add_actor;gas_used;286664.64
Optimism;add_actor;gas_used;60546.12
Arbitrum;register_actor;gas_used;109307.19
Optimism;register_actor;gas_used;25997.0
Arbitrum;buy_seeds;l1_fee;-1.0
Optimism;buy_seeds;l1_fee;458073210186658.94
Arbitrum;germinate_seeds;l1_fee;-1.0
Optimism;germinate_seeds;l1_fee;463017013358515.6
Arbitrum;plant_seeds;l1_fee;-1.0
Optimism;plant_seeds;l1_fee;463525810192865.25
Arbitrum;stimulate;l1_fee;-1.0
Optimism;stimulate;l1_fee;503663519888183.56
Arbitrum;harvest;l1_fee;-1.0
Optimism;harvest;l1_fee;460647371637776.2
Arbitrum;transport;l1_fee;-1.0
Optimism;transport;l1_fee;460694723975217.7
Arbitrum;store;l1_fee;-1.0
Optimism;store;l1_fee;457866399177997.3
Arbitrum;display_vegetables;l1_fee;-1.0
Optimism;display_vegetables;l1_fee;457306924872787.6
Arbitrum;add_actor;l1_fee;-1.0
Optimism;add_actor;l1_fee;772102703038770.5
Arbitrum;register_actor;l1_fee;-1.0
Optimism;register_actor;l1_fee;446730788932552.0
Arbitrum;buy_seeds;price_usd;0.09564208519326135
Optimism;buy_seeds;price_usd;0.00018329287238020295
Arbitrum;germinate_seeds;price_usd;0.05659925474515731
Optimism;germinate_seeds;price_usd;0.00010768295243137714
Arbitrum;plant_seeds;price_usd;0.050110400324966414
Optimism;plant_seeds;price_usd;6.970920981910247e-05
Arbitrum;stimulate;price_usd;0.08143295926272527
Optimism;stimulate;price_usd;7.412197101390682e-05
Arbitrum;harvest;price_usd;0.049991206438928064
Optimism;harvest;price_usd;6.960927133581801e-05
Arbitrum;transport;price_usd;0.06976596397658562
Optimism;transport;price_usd;8.944560476258721e-05
Arbitrum;store;price_usd;0.058086142214774775
Optimism;store;price_usd;6.901187170624505e-05
Arbitrum;display_vegetables;price_usd;0.049259125185082804
Optimism;display_vegetables;price_usd;6.899632599097735e-05
Arbitrum;add_actor;price_usd;0.1087308080324745
Optimism;add_actor;price_usd;0.0001344620569357446
Arbitrum;register_actor;price_usd;0.041463880998947086
Optimism;register_actor;price_usd;5.77346666970273e-05
Arbitrum;buy_seeds;price_eth;2.51956e-05
Optimism;buy_seeds;price_eth;9.906651841974e-08
Arbitrum;germinate_seeds;price_eth;1.49103e-05
Optimism;germinate_seeds;price_eth;5.8200709345680005e-08
Arbitrum;plant_seeds;price_eth;1.32009e-05
Optimism;plant_seeds;price_eth;3.7676580812400006e-08
Arbitrum;stimulate;price_eth;2.14524e-05
Optimism;stimulate;price_eth;4.006159929408e-08
Arbitrum;harvest;price_eth;1.3169499999999998e-05
Optimism;harvest;price_eth;3.762256585008e-08
Arbitrum;transport;price_eth;1.8372095e-05
Optimism;transport;price_eth;4.834374919608e-08
Arbitrum;store;price_eth;1.53029e-05
Optimism;store;price_eth;3.7299682037749996e-08
Arbitrum;display_vegetables;price_eth;1.298e-05
Optimism;display_vegetables;price_eth;3.729127985676e-08
Arbitrum;add_actor;price_eth;2.86609e-05
Optimism;add_actor;price_eth;7.267433625324e-08
Arbitrum;register_actor;price_eth;1.0923e-05
Optimism;register_actor;price_eth;3.120455447899e-08
Arbitrum;buy_seeds;soft_confirmation_duration;1.83
Optimism;buy_seeds;soft_confirmation_duration;4.08
Arbitrum;germinate_seeds;soft_confirmation_duration;1.84
Optimism;germinate_seeds;soft_confirmation_duration;3.91
Arbitrum;plant_seeds;soft_confirmation_duration;1.81
Optimism;plant_seeds;soft_confirmation_duration;4.04
Arbitrum;stimulate;soft_confirmation_duration;1.79
Optimism;stimulate;soft_confirmation_duration;4.05
Arbitrum;harvest;soft_confirmation_duration;1.82
Optimism;harvest;soft_confirmation_duration;4.05
Arbitrum;transport;soft_confirmation_duration;1.81
Optimism;transport;soft_confirmation_duration;3.95
Arbitrum;store;soft_confirmation_duration;1.79
Optimism;store;soft_confirmation_duration;4.07
Arbitrum;display_vegetables;soft_confirmation_duration;1.79
Optimism;display_vegetables;soft_confirmation_duration;3.97
Arbitrum;add_actor;soft_confirmation_duration;1.76
Optimism;add_actor;soft_confirmation_duration;4.07
Arbitrum;register_actor;soft_confirmation_duration;1.75
Optimism;register_actor;soft_confirmation_duration;3.95
Arbitrum;buy_seeds;gas_price_approximation_accuracy;0.0
Optimism;buy_seeds;gas_price_approximation_accuracy;200051.55
Arbitrum;germinate_seeds;gas_price_approximation_accuracy;0.0
Optimism;germinate_seeds;gas_price_approximation_accuracy;200051.55
Arbitrum;plant_seeds;gas_price_approximation_accuracy;0.0
Optimism;plant_seeds;gas_price_approximation_accuracy;200051.55
Arbitrum;stimulate;gas_price_approximation_accuracy;0.0
Optimism;stimulate;gas_price_approximation_accuracy;200051.55
Arbitrum;harvest;gas_price_approximation_accuracy;0.0
Optimism;harvest;gas_price_approximation_accuracy;200051.55
Arbitrum;transport;gas_price_approximation_accuracy;0.0
Optimism;transport;gas_price_approximation_accuracy;200051.56
Arbitrum;store;gas_price_approximation_accuracy;0.0
Optimism;store;gas_price_approximation_accuracy;200051.54
Arbitrum;display_vegetables;gas_price_approximation_accuracy;0.0
Optimism;display_vegetables;gas_price_approximation_accuracy;200051.54
Arbitrum;add_actor;gas_price_approximation_accuracy;0.0
Optimism;add_actor;gas_price_approximation_accuracy;200052.0
Arbitrum;register_actor;gas_price_approximation_accuracy;0.0
Optimism;register_actor;gas_price_approximation_accuracy;200052.0
